VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJYGDEE1L,King,Seattle,WA,98112,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,43,110743468,POINT (-122.30764 47.62523),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400
3FA6P0SU9L,Kitsap,Bremerton,WA,98310,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,23,230362380,POINT (-122.611365 47.575195),PUGET SOUND ENERGY INC,53035080300
WBY1Z2C53G,King,Seattle,WA,98119,2016,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,36,219061027,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902
5UX43EU02R,King,Seattle,WA,98105,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,46,256410164,POINT (-122.319115 47.66132),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101
JTDKARFP7H,Kitsap,Poulsbo,WA,98370,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,23,348856014,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035940100
5YJXCBE26G,Yakima,Selah,WA,98942,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,15,122670621,POINT (-120.54188 46.654175),PACIFICORP,53077003100
5YJ3E1EB0L,King,Seattle,WA,98119,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,36,151540385,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007102
1G1RA6S51J,Kitsap,Poulsbo,WA,98370,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,154300961,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035091100
1N4AZ0CP0D,Kitsap,Poulsbo,WA,98370,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,231813487,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090502
7FCTGAAL7N,Kitsap,Silverdale,WA,98383,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,221467284,POINT (-122.668076 47.665978),PUGET SOUND ENERGY INC,53035091206
5YJ3E1EAXK,King,Seattle,WA,98144,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,37,477438538,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009000
1G1FY6S0XL,Snohomish,Brier,WA,98036,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,1,145615970,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051913
WBY8P6C04L,Kitsap,Bainbridge Island,WA,98110,2020,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,23,132150504,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035091002
5YJYGDEE8L,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,110047598,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051938
KNAGV4LD5J,Thurston,Lacey,WA,98503,2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,22,165098895,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011300
5YJ3E1EA5L,Yakima,Yakima,WA,98902,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,14,102765120,POINT (-120.524012 46.5973939),PACIFICORP,53077000301
5YJ3E1EB5J,King,Seattle,WA,98115,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,46,474007481,POINT (-122.3185 47.67949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200
5UXTA6C04N,Thurston,Olympia,WA,98501,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,22,216634071,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010300
5YJSA1E23H,Yakima,Yakima,WA,98901,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,15,255647577,POINT (-120.500225 46.6043),PACIFICORP,53077001601
5YJSA1E22K,Snohomish,Bothell,WA,98012,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,21,145860116,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051927
7SAYGDEE7N,Yakima,Yakima,WA,98902,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,185725480,POINT (-120.524012 46.5973939),PACIFICORP,53077000301
WBY7Z8C55J,Thurston,Tumwater,WA,98512,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,22,190643316,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011000
1G1RA6E48D,Snohomish,Edmonds,WA,98026,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,21,213526673,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050102
JA4T5VA98P,Yakima,Yakima,WA,98908,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,249745730,POINT (-120.6027202 46.5965625),PACIFICORP,53077000904
WBY1Z4C54G,Snohomish,Lake Stevens,WA,98258,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,44,139826151,POINT (-122.112265 48.0047),PUGET SOUND ENERGY INC,53061052604
5YJ3E1EA7K,Yakima,Tieton,WA,98947,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,476682475,POINT (-120.75692 46.70383),PACIFICORP,53077002900
1G1RE6E47E,Snohomish,Bothell,WA,98021,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,1,232778409,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051918
JHMZC5F30J,Snohomish,Everett,WA,98204,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,21,132616291,POINT (-122.240535 47.91139),PUGET SOUND ENERGY INC,53061041812
1N4AZ1CP9L,Thurston,Lacey,WA,98503,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,22,229380322,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011200
WA1E2AFY0M,Thurston,Olympia,WA,98502,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,35,141822551,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067011902
1C4JJXR64N,Yakima,Naches,WA,98937,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,14,209500252,POINT (-120.69918 46.7305),PACIFICORP,53077003004
1G1FX6S01K,Island,Oak Harbor,WA,98277,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,475249806,POINT (-122.6788673 48.2897314),PUGET SOUND ENERGY INC,53029971000
1N4AZ1CP3J,Kitsap,Poulsbo,WA,98370,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,23,168437370,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035940000
5YJYGDEEXL,Snohomish,Marysville,WA,98270,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,38,123386574,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052809
1N4AZ0CP9F,King,Shoreline,WA,98133,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,32,263970794,POINT (-122.34584 47.76726),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020900
